Spanish,English Translation - Meaning in English.,French Translation - Meaning in French.,Italian Translation - Meaning in Italian.,Portuguese Translation - Meaning in Portuguese.,Spanish Sentence - Story sentence using the verb in Spanish.,English Sentence - Translation of the story sentence in English.,French Sentence - Translation of the story sentence in French.,Italian Sentence - Translation of the story sentence in Italian.,Portuguese Sentence - Translation of the story sentence in Portuguese.
bailar,to dance,danser,ballare,dançar,El ornitorrinco pone música y todos comienzan a bailar alegremente.,"The platypus plays music, and everyone starts dancing happily.",L'ornithorynque met de la musique et tout le monde commence à danser joyeusement.,L'ornitorinco mette della musica e tutti iniziano a ballare felicemente.,O ornitorrinco coloca música e todos começam a dançar alegremente.
cuidar,to take care of,prendre soin de,prendersi cura di,cuidar,Curb les dice que cuidar de su cuerpo es tan importante como cuidar del dinero.,Curb tells them that taking care of their body is as important as taking care of money.,Curb leur dit que prendre soin de leur corps est aussi important que de leur argent.,Curb dice loro che prendersi cura del proprio corpo è importante quanto prendersi cura del denaro.,Curb diz que cuidar do corpo é tão importante quanto cuidar do dinheiro.
aprender,to learn,apprendre,imparare,aprender,Deciden aprender una nueva receta que sea nutritiva y fácil de preparar.,They decide to learn a new recipe that is nutritious and easy to prepare.,Ils décident d'apprendre une nouvelle recette nutritive et facile à préparer.,Decidono di imparare una nuova ricetta che sia nutriente e facile da preparare.,Decidem aprender uma nova receita que seja nutritiva e fácil de preparar.
correr,to run,courir,correre,correr,"En la tarde, todos salen a correr por el parque para mejorar su resistencia.","In the afternoon, they all go running in the park to improve their stamina.","Dans l'après-midi, ils vont tous courir dans le parc pour améliorer leur endurance.","Nel pomeriggio, tutti vanno a correre nel parco per migliorare la loro resistenza.","À tarde, todos vão correr no parque para melhorar sua resistência."
estudiar,to study,étudier,studiare,estudar,Los niños deciden estudiar etiquetas de alimentos para entender mejor los ingredientes.,The children decide to study food labels to better understand the ingredients.,Les enfants décident d'étudier les étiquettes des aliments pour mieux comprendre les ingrédients.,I bambini decidono di studiare le etichette degli alimenti per capire meglio gli ingredienti.,As crianças decidem estudar os rótulos dos alimentos para entender melhor os ingredientes.
jugar,to play,jouer,giocare,jogar,"Luego, organizan un juego donde deben identificar alimentos saludables rápidamente.","Then, they organize a game where they must quickly identify healthy foods.","Ensuite, ils organisent un jeu où ils doivent rapidement identifier les aliments sains.",Poi organizzano un gioco in cui devono identificare rapidamente i cibi sani.,"Depois, organizam um jogo onde devem identificar rapidamente alimentos saudáveis."
preguntar,to ask,demander,chiedere,perguntar,El ornitorrinco pregunta por qué algunos alimentos tienen azúcar escondido.,The platypus asks why some foods have hidden sugar.,L'ornithorynque demande pourquoi certains aliments contiennent du sucre caché.,L'ornitorinco chiede perché alcuni alimenti contengono zucchero nascosto.,O ornitorrinco pergunta por que alguns alimentos têm açúcar escondido.
responder,to answer,répondre,rispondere,responder,Curb responde que es importante leer bien las etiquetas para evitar excesos.,Curb answers that it's important to read labels carefully to avoid excess.,Curb répond qu'il est important de bien lire les étiquettes pour éviter les excès.,Curb risponde che è importante leggere bene le etichette per evitare gli eccessi.,Curb responde que é importante ler bem os rótulos para evitar excessos.
escuchar,to listen,écouter,ascoltare,escutar,Escuchan a un nutricionista en un video que explica cómo equilibrar las comidas.,They listen to a nutritionist in a video explaining how to balance meals.,Ils écoutent un nutritionniste dans une vidéo expliquant comment équilibrer les repas.,Ascoltano un nutrizionista in un video che spiega come bilanciare i pasti.,Escutam um nutricionista em um vídeo que explica como equilibrar as refeições.
nadar,to swim,nager,nuotare,nadar,"Al día siguiente, deciden nadar en la piscina del parque para mantenerse activos.","The next day, they decide to swim in the park pool to stay active.","Le lendemain, ils décident de nager dans la piscine du parc pour rester actifs.","Il giorno dopo, decidono di nuotare nella piscina del parco per rimanere attivi.","No dia seguinte, decidem nadar na piscina do parque para se manterem ativos."
construir,to build,construire,costruire,construir,"Después, construyen un fuerte con ramas mientras hablan de sus metas personales.","Afterwards, they build a fort with branches while talking about their personal goals.","Ensuite, ils construisent un fort avec des branches en parlant de leurs objectifs personnels.",Successivamente costruiscono un fortino con dei rami parlando dei loro obiettivi personali.,"Depois, constroem um forte com galhos enquanto falam de seus objetivos pessoais."
buscar,to search/look for,chercher,cercare,buscar,Buscan ideas para snacks saludables en un libro de recetas de la biblioteca.,They look for healthy snack ideas in a recipe book at the library.,Ils cherchent des idées de collations saines dans un livre de recettes à la bibliothèque.,Cercano idee per snack salutari in un libro di ricette della biblioteca.,Procuram ideias para lanches saudáveis em um livro de receitas na biblioteca.
cocinar,to cook,cuisiner,cucinare,cozinhar,Deciden cocinar juntos una receta saludable que encontraron en el libro.,They decide to cook a healthy recipe they found in the book together.,Ils décident de cuisiner ensemble une recette saine trouvée dans le livre.,Decidono di cucinare insieme una ricetta salutare trovata nel libro.,Decidem cozinhar juntos uma receita saudável que encontraram no livro.
enseñar,to teach,enseigner,insegnare,ensinar,El canguro enseña cómo medir ingredientes usando una balanza.,The kangaroo teaches how to measure ingredients using a scale.,Le kangourou enseigne comment mesurer les ingrédients en utilisant une balance.,Il canguro insegna come misurare gli ingredienti usando una bilancia.,O canguru ensina como medir os ingredientes usando uma balança.
trabajar,to work,travailler,lavorare,trabalhar,Todos trabajan juntos para preparar una comida deliciosa y nutritiva.,Everyone works together to prepare a delicious and nutritious meal.,Tout le monde travaille ensemble pour préparer un repas délicieux et nutritif.,Tutti lavorano insieme per preparare un pasto delizioso e nutriente.,Todos trabalham juntos para preparar uma refeição deliciosa e nutritiva.
limpiar,to clean,nettoyer,pulire,limpar,"Después de comer, limpian la cocina y discuten formas de ahorrar agua.","After eating, they clean the kitchen and discuss ways to save water.","Après avoir mangé, ils nettoient la cuisine et discutent des moyens d'économiser l'eau.","Dopo aver mangiato, puliscono la cucina e discutono di modi per risparmiare acqua.","Depois de comer, limpam a cozinha e discutem maneiras de economizar água."
compartir,to share,partager,condividere,compartilhar,Comparten lo que aprendieron con otros niños en el vecindario.,They share what they learned with other kids in the neighborhood.,Ils partagent ce qu'ils ont appris avec d'autres enfants du quartier.,Condividono ciò che hanno imparato con altri bambini del quartiere.,Compartilham o que aprenderam com outras crianças do bairro.
saltar,to jump,sauter,saltare,pular,"Más tarde, saltan la cuerda juntos para divertirse y hacer ejercicio.","Later, they jump rope together for fun and exercise.","Plus tard, ils sautent à la corde ensemble pour s'amuser et faire de l'exercice.",Più tardi saltano la corda insieme per divertirsi e fare esercizio.,"Mais tarde, pulam corda juntos para se divertir e fazer exercício."
comprar,to buy,acheter,comprare,comprar,Van al mercado local para comprar frutas y verduras frescas.,They go to the local market to buy fresh fruits and vegetables.,Ils vont au marché local pour acheter des fruits et légumes frais.,Vanno al mercato locale per comprare frutta e verdura fresca.,Vão ao mercado local para comprar frutas e vegetais frescos.
ahorrar,to save (money),économiser,risparmiare,economizar,El ornitorrinco habla de cómo ahorrar dinero comprando productos a granel.,The platypus talks about how to save money by buying in bulk.,L'ornithorynque parle de comment économiser de l'argent en achetant en gros.,L'ornitorinco parla di come risparmiare denaro acquistando all'ingrosso.,O ornitorrinco fala sobre como economizar dinheiro comprando a granel.
plantar,to plant,planter,piantare,plantar,"Después del mercado, deciden plantar un pequeño huerto en el patio.","After the market, they decide to plant a small garden in the yard.","Après le marché, ils décident de planter un petit jardin dans la cour.","Dopo il mercato, decidono di piantare un piccolo orto nel cortile.","Depois do mercado, decidem plantar uma pequena horta no quintal."
regar,to water,arroser,annaffiare,regar,"Cada día, se turnan para regar las plantas y observar su crecimiento.","Every day, they take turns watering the plants and watching them grow.","Chaque jour, ils se relaient pour arroser les plantes et observer leur croissance.",Ogni giorno si alternano ad annaffiare le piante e osservare la loro crescita.,"Todos os dias, revezam-se para regar as plantas e observar o crescimento delas."
jugar,to play,jouer,giocare,jogar,"Durante el descanso, juegan a las escondidas en el jardín.","During the break, they play hide and seek in the garden.","Pendant la pause, ils jouent à cache-cache dans le jardin.","Durante la pausa, giocano a nascondino nel giardino.","Durante a pausa, jogam esconde-esconde no jardim."
ayudar,to help,aider,aiutare,ajudar,Los niños ayudan al canguro a construir un pequeño cobertizo para herramientas.,The kids help the kangaroo build a small shed for tools.,Les enfants aident le kangourou à construire un petit abri pour les outils.,I bambini aiutano il canguro a costruire un piccolo capanno per gli attrezzi.,As crianças ajudam o canguru a construir um pequeno galpão para ferramentas.
correr,to run,courir,correre,correr,"Antes de la cena, deciden correr alrededor del vecindario para mantenerse activos.","Before dinner, they decide to run around the neighborhood to stay active.","Avant le dîner, ils décident de courir autour du quartier pour rester actifs.","Prima di cena, decidono di correre intorno al quartiere per mantenersi attivi.","Antes do jantar, decidem correr pelo bairro para se manterem ativos."
vender,to sell,vendre,vendere,vender,"Para ganar dinero extra, organizan una venta de frutas del huerto.","To earn extra money, they organize a fruit sale from the garden.","Pour gagner de l'argent supplémentaire, ils organisent une vente de fruits du jardin.","Per guadagnare soldi extra, organizzano una vendita di frutta dell'orto.","Para ganhar dinheiro extra, organizam uma venda de frutas da horta."
aprender,to learn,apprendre,imparare,aprender,Aprenden a calcular el cambio usando monedas y billetes.,They learn to calculate change using coins and bills.,Ils apprennent à calculer la monnaie avec des pièces et des billets.,Imparano a calcolare il resto usando monete e banconote.,Aprendem a calcular o troco usando moedas e notas.
construir,to build,construire,costruire,construir,"Más tarde, construyen una caja fuerte para guardar sus ahorros.","Later, they build a safe box to store their savings.","Plus tard, ils construisent une boîte forte pour conserver leurs économies.",Più tardi costruiscono una cassetta di sicurezza per conservare i loro risparmi.,"Mais tarde, constroem uma caixa-forte para guardar suas economias."
ahorrar,to save,économiser,risparmiare,economizar,Deciden ahorrar el dinero de la venta para un proyecto más grande.,They decide to save the money from the sale for a bigger project.,Ils décident d'économiser l'argent de la vente pour un projet plus grand.,Decidono di risparmiare i soldi della vendita per un progetto più grande.,Decidem economizar o dinheiro da venda para um projeto maior.
enseñar,to teach,enseigner,insegnare,ensinar,El canguro les enseña a construir cajas de madera.,The kangaroo teaches them how to build wooden boxes.,Le kangourou leur enseigne à construire des boîtes en bois.,Il canguro insegna loro a costruire scatole di legno.,O canguru lhes ensina a construir caixas de madeira.
cocinar,to cook,cuisiner,cucinare,cozinhar,"Mientras tanto, el ornitorrinco cocina una cena saludable para todos.","Meanwhile, the platypus cooks a healthy dinner for everyone.","Pendant ce temps, l'ornithorynque cuisine un dîner sain pour tout le monde.","Nel frattempo, l'ornitorinco cucina una cena sana per tutti.","Enquanto isso, o ornitorrinco cozinha um jantar saudável para todos."
celebrar,to celebrate,célébrer,celebrare,celebrar,"Después de terminar la cena, celebran el éxito de su primer proyecto juntos.","After finishing dinner, they celebrate the success of their first project together.","Après avoir terminé le dîner, ils célèbrent le succès de leur premier projet ensemble.","Dopo aver finito la cena, celebrano il successo del loro primo progetto insieme.","Depois de terminar o jantar, comemoram o sucesso do primeiro projeto juntos."
practicar,to practice,pratiquer,praticare,praticar,Cada mañana practican nuevos ejercicios en el parque local.,Every morning they practice new exercises at the local park.,"Chaque matin, ils pratiquent de nouveaux exercices dans le parc local.",Ogni mattina praticano nuovi esercizi nel parco locale.,Todas as manhãs praticam novos exercícios no parque local.
nadar,to swim,nager,nuotare,nadar,"Una tarde, deciden nadar en el lago cercano para mantenerse frescos.","One afternoon, they decide to swim in the nearby lake to stay cool.","Un après-midi, ils décident de nager dans le lac voisin pour rester frais.",Un pomeriggio decidono di nuotare nel lago vicino per rimanere freschi.,"Uma tarde, decidem nadar no lago próximo para se refrescar."
explorar,to explore,explorer,esplorare,explorar,"Durante su tiempo libre, exploran un bosque lleno de plantas interesantes.","During their free time, they explore a forest full of interesting plants.","Pendant leur temps libre, ils explorent une forêt pleine de plantes intéressantes.","Durante il loro tempo libero, esplorano una foresta piena di piante interessanti.","Durante o tempo livre, exploram uma floresta cheia de plantas interessantes."
reciclar,to recycle,recycler,riciclare,reciclar,Aprenden a reciclar materiales para cuidar el medio ambiente.,They learn to recycle materials to care for the environment.,Ils apprennent à recycler les matériaux pour protéger l'environnement.,Imparano a riciclare i materiali per proteggere l'ambiente.,Aprendem a reciclar materiais para cuidar do meio ambiente.
sembrar,to plant,planter,piantare,plantar,Deciden sembrar flores alrededor de sus cajas para embellecer el espacio.,They decide to plant flowers around their boxes to beautify the space.,Ils décident de planter des fleurs autour de leurs boîtes pour embellir l’espace.,Decidono di piantare fiori intorno alle loro scatole per abbellire lo spazio.,Decidem plantar flores ao redor de suas caixas para embelezar o espaço.
cantar,to sing,chanter,cantare,cantar,"Mientras trabajan, cantan canciones para mantener el ánimo alto.","While working, they sing songs to keep their spirits high.","Pendant qu’ils travaillent, ils chantent des chansons pour garder le moral.","Mentre lavorano, cantano canzoni per mantenere alto il morale.","Enquanto trabalham, cantam canções para manter o ânimo elevado."
pensar,to think,penser,pensare,pensar,Curb Appeall piensa en nuevas ideas para proyectos futuros.,Curb Appeall thinks of new ideas for future projects.,Curb Appeall pense à de nouvelles idées pour des projets futurs.,Curb Appeall pensa a nuove idee per progetti futuri.,Curb Appeall pensa em novas ideias para projetos futuros.
reír,to laugh,rire,ridere,rir,Todos ríen cuando el ornitorrinco cuenta un chiste sobre canguros.,Everyone laughs when the platypus tells a joke about kangaroos.,Tout le monde rit lorsque l’ornithorynque raconte une blague sur les kangourous.,Tutti ridono quando l'ornitorinco racconta una barzelletta sui canguri.,Todos riem quando o ornitorrinco conta uma piada sobre cangurus.
buscar,to search for,chercher,cercare,procurar,Buscan materiales reciclables en el vecindario para su próximo proyecto.,They search for recyclable materials in the neighborhood for their next project.,Ils cherchent des matériaux recyclables dans le quartier pour leur prochain projet.,Cercano materiali riciclabili nel quartiere per il loro prossimo progetto.,Procuram materiais recicláveis no bairro para o próximo projeto.
construir,to build,construire,costruire,construir,"Con la ayuda de un castor amigo, construyen una pequeña cabaña.","With the help of a beaver friend, they build a small cabin.","Avec l’aide d’un ami castor, ils construisent une petite cabane.","Con l’aiuto di un amico castoro, costruiscono una piccola capanna.","Com a ajuda de um amigo castor, constroem uma pequena cabana."
correr,to run,courir,correre,correr,Cada tarde corren juntos por el bosque para mejorar su resistencia.,Every afternoon they run together through the forest to improve their stamina.,"Chaque après-midi, ils courent ensemble dans la forêt pour améliorer leur endurance.",Ogni pomeriggio corrono insieme nella foresta per migliorare la resistenza.,Todas as tardes correm juntos pela floresta para melhorar a resistência.
organizar,to organize,organiser,organizzare,organizar,Organizan un mercado para vender productos hechos a mano.,They organize a market to sell handmade products.,Ils organisent un marché pour vendre des produits faits à la main.,Organizzano un mercato per vendere prodotti fatti a mano.,Organizam um mercado para vender produtos feitos à mão.
enseñar,to teach,enseigner,insegnare,ensinar,Curb Appeall enseña a los niños cómo mantener un presupuesto.,Curb Appeall teaches the children how to maintain a budget.,Curb Appeall enseigne aux enfants comment gérer un budget.,Curb Appeall insegna ai bambini come mantenere un bilancio.,Curb Appeall ensina às crianças como manter um orçamento.
aprender,to learn,apprendre,imparare,aprender,Los animales aprenden sobre nutrición balanceada en un taller.,The animals learn about balanced nutrition in a workshop.,Les animaux apprennent la nutrition équilibrée lors d’un atelier.,Gli animali imparano sulla nutrizione equilibrata durante un laboratorio.,Os animais aprendem sobre nutrição balanceada em um workshop.
descansar,to rest,se reposer,riposare,descansar,"Después de trabajar duro, deciden descansar bajo un árbol grande.","After working hard, they decide to rest under a big tree.","Après avoir travaillé dur, ils décident de se reposer sous un grand arbre.","Dopo aver lavorato sodo, decidono di riposarsi sotto un grande albero.","Depois de trabalhar muito, decidem descansar sob uma grande árvore."
compartir,to share,partager,condividere,compartilhar,Comparten sus ideas con una nueva familia de ardillas que acaba de llegar.,They share their ideas with a new family of squirrels that just arrived.,Ils partagent leurs idées avec une nouvelle famille d’écureuils qui vient d’arriver.,Condividono le loro idee con una nuova famiglia di scoiattoli appena arrivata.,Compartilham suas ideias com uma nova família de esquilos que acabou de chegar.
